time,share_id,close_b19,close_b18,close_b17,close_b16,close_b15,close_b14,close_b13,close_b12,close_b11,close_b10,close_b9,close_b8,close_b7,close_b6,close_b5,close_b4,close_b3,close_b2,close_b1,close_b0,target_close_price,target_trend
20080219,601628.SH,1.0,0.9556,0.9744,0.991,0.9124,0.9,1.0256,0.9946,1.03,0.9,1.0175,0.9394,1.0043,1.0226,1.0822,0.9761,0.9445,1.0219,1.0049,1.0068,1.0055,1
20080218,601628.SH,1.0,0.9712,0.9556,0.9744,0.991,0.9124,0.9,1.0256,0.9946,1.03,0.9,1.0175,0.9394,1.0043,1.0226,1.0822,0.9761,0.9445,1.0219,1.0049,1.0068,1
20080215,601628.SH,1.0,1.0027,0.9712,0.9556,0.9744,0.991,0.9124,0.9,1.0256,0.9946,1.03,0.9,1.0175,0.9394,1.0043,1.0226,1.0822,0.9761,0.9445,1.0219,1.0049,1
20080214,601628.SH,1.0,1.0063,1.0027,0.9712,0.9556,0.9744,0.991,0.9124,0.9,1.0256,0.9946,1.03,0.9,1.0175,0.9394,1.0043,1.0226,1.0822,0.9761,0.9445,1.0219,1
20080213,601628.SH,1.0,1.024,1.0063,1.0027,0.9712,0.9556,0.9744,0.991,0.9124,0.9,1.0256,0.9946,1.03,0.9,1.0175,0.9394,1.0043,1.0226,1.0822,0.9761,0.9445,0
20080205,601628.SH,1.0,0.9818,1.024,1.0063,1.0027,0.9712,0.9556,0.9744,0.991,0.9124,0.9,1.0256,0.9946,1.03,0.9,1.0175,0.9394,1.0043,1.0226,1.0822,0.9761,0
20080204,601628.SH,1.0,1.0399,0.9818,1.024,1.0063,1.0027,0.9712,0.9556,0.9744,0.991,0.9124,0.9,1.0256,0.9946,1.03,0.9,1.0175,0.9394,1.0043,1.0226,1.0822,1
20080201,601628.SH,1.0,0.9864,1.0399,0.9818,1.024,1.0063,1.0027,0.9712,0.9556,0.9744,0.991,0.9124,0.9,1.0256,0.9946,1.03,0.9,1.0175,0.9394,1.0043,1.0226,1
20080131,601628.SH,1.0,1.0213,0.9864,1.0399,0.9818,1.024,1.0063,1.0027,0.9712,0.9556,0.9744,0.991,0.9124,0.9,1.0256,0.9946,1.03,0.9,1.0175,0.9394,1.0043,1
20080130,601628.SH,1.0,0.9825,1.0213,0.9864,1.0399,0.9818,1.024,1.0063,1.0027,0.9712,0.9556,0.9744,0.991,0.9124,0.9,1.0256,0.9946,1.03,0.9,1.0175,0.9394,0
20080229,600383.SH,1.0,1.0497,1.1001,0.9611,0.995,1.0604,1.0145,1.0553,0.965,0.9991,0.9773,0.9644,1.038,1.0058,0.9908,0.9249,0.9561,0.9694,1.0379,0.9795,1.0456,1
20080228,600383.SH,1.0,1.0447,1.0497,1.1001,0.9611,0.995,1.0604,1.0145,1.0553,0.965,0.9991,0.9773,0.9644,1.038,1.0058,0.9908,0.9249,0.9561,0.9694,1.0379,0.9795,0
20080227,600383.SH,1.0,0.9132,1.0447,1.0497,1.1001,0.9611,0.995,1.0604,1.0145,1.0553,0.965,0.9991,0.9773,0.9644,1.038,1.0058,0.9908,0.9249,0.9561,0.9694,1.0379,1
20080226,600383.SH,1.0,0.9337,0.9132,1.0447,1.0497,1.1001,0.9611,0.995,1.0604,1.0145,1.0553,0.965,0.9991,0.9773,0.9644,1.038,1.0058,0.9908,0.9249,0.9561,0.9694,0
20080225,600383.SH,1.0,1.0213,0.9337,0.9132,1.0447,1.0497,1.1001,0.9611,0.995,1.0604,1.0145,1.0553,0.965,0.9991,0.9773,0.9644,1.038,1.0058,0.9908,0.9249,0.9561,0
20080222,600383.SH,1.0,0.951,1.0213,0.9337,0.9132,1.0447,1.0497,1.1001,0.9611,0.995,1.0604,1.0145,1.0553,0.965,0.9991,0.9773,0.9644,1.038,1.0058,0.9908,0.9249,0
20080220,600383.SH,1.0,0.9279,0.951,1.0213,0.9337,0.9132,1.0447,1.0497,1.1001,0.9611,0.995,1.0604,1.0145,1.0553,0.965,0.9991,0.9773,0.9644,1.038,1.0058,0.9908,0
20080219,600383.SH,1.0,0.9569,0.9279,0.951,1.0213,0.9337,0.9132,1.0447,1.0497,1.1001,0.9611,0.995,1.0604,1.0145,1.0553,0.965,0.9991,0.9773,0.9644,1.038,1.0058,1
20080218,600383.SH,1.0,1.0234,0.9569,0.9279,0.951,1.0213,0.9337,0.9132,1.0447,1.0497,1.1001,0.9611,0.995,1.0604,1.0145,1.0553,0.965,0.9991,0.9773,0.9644,1.038,1
20080215,600383.SH,1.0,1.001,1.0234,0.9569,0.9279,0.951,1.0213,0.9337,0.9132,1.0447,1.0497,1.1001,0.9611,0.995,1.0604,1.0145,1.0553,0.965,0.9991,0.9773,0.9644,0
20080214,600383.SH,1.0,1.0625,1.001,1.0234,0.9569,0.9279,0.951,1.0213,0.9337,0.9132,1.0447,1.0497,1.1001,0.9611,0.995,1.0604,1.0145,1.0553,0.965,0.9991,0.9773,0
20080213,600383.SH,1.0,1.009,1.0625,1.001,1.0234,0.9569,0.9279,0.951,1.0213,0.9337,0.9132,1.0447,1.0497,1.1001,0.9611,0.995,1.0604,1.0145,1.0553,0.965,0.9991,0
20080205,600383.SH,1.0,0.9575,1.009,1.0625,1.001,1.0234,0.9569,0.9279,0.951,1.0213,0.9337,0.9132,1.0447,1.0497,1.1001,0.9611,0.995,1.0604,1.0145,1.0553,0.965,0
20080204,600383.SH,1.0,1.0543,0.9575,1.009,1.0625,1.001,1.0234,0.9569,0.9279,0.951,1.0213,0.9337,0.9132,1.0447,1.0497,1.1001,0.9611,0.995,1.0604,1.0145,1.0553,1
20080201,600383.SH,1.0,1.0539,1.0543,0.9575,1.009,1.0625,1.001,1.0234,0.9569,0.9279,0.951,1.0213,0.9337,0.9132,1.0447,1.0497,1.1001,0.9611,0.995,1.0604,1.0145,1
20080131,600383.SH,1.0,0.9859,1.0539,1.0543,0.9575,1.009,1.0625,1.001,1.0234,0.9569,0.9279,0.951,1.0213,0.9337,0.9132,1.0447,1.0497,1.1001,0.9611,0.995,1.0604,1
